guid,dsmn,ptk,stk,title,image_url,about,date_generated,download_title,download_url
"usdm-2000-01-04","usdm","2000","01-04","USDM for 2000-01-04","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-01-04.png","Whan that aprille with his shoures soote the droghte of marche hath perced to the roote, and bathed every veyne in swich licour, of which vertu engendred is the flour.","2000-01-04","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-01-11","usdm","2000","01-11","USDM for 2000-01-11","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-01-11.png","Whan zephirus eek with his swete breeth inspired hath in every holt and heeth the tendre croppes, and the yonge sonne hath in the ram his halfe cours y-ronne, and smale fowles maken melodye.","2000-01-11","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-01-18","usdm","2000","01-18","USDM for 2000-01-18","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-01-18.png","","2000-01-18","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-01-25","usdm","2000","01-25","USDM for 2000-01-25","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-01-25.png","And specially, from every shires ende of engelond, to caunterbury they wende, the holy blisful martir for to seke, that hem hath holpen, whan that they were seke.","2000-01-25","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-02-01","usdm","2000","02-01","USDM for 2000-02-01","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-02-01.png","","2000-02-01","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-02-08","usdm","2000","02-08","USDM for 2000-02-08","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-02-08.png","At night was come in-to that hostelrye wel nyne and twenty in a compaignye, of sondry folk, by aventure y-falle.","2000-02-08","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-02-15","usdm","2000","02-15","USDM for 2000-02-15","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-02-15.png","In felawshipe, and pilgrims were they alle, that toward caunterbury wolden ryde; the chambres and the stables weren wyde, and wel we weren esed atte beste.","2000-02-15","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-02-22","usdm","2000","02-22","USDM for 2000-02-22","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-02-22.png","","2000-02-22","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-02-29","usdm","2000","02-29","USDM for 2000-02-29","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-02-29.png","But natheles, whyl I have tyme and space, er that I ferther in this tale pace, me thinketh it acordaunt to resoun, to telle yew al the condicioun.","2000-02-29","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-03-07","usdm","2000","03-07","USDM for 2000-03-07","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-03-07.png","","2000-03-07","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-03-14","usdm","2000","03-14","USDM for 2000-03-14","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-03-14.png","A knight ther was, and that a worthy man, that fro the tyme that he first bigan to ryden out, he loved chivalrye, trouthe and honour, fredom and curteisye.","2000-03-14","620 PX, 940 PX, High res","example.com,example.com,example.com"
